Participant_ID,zcr,rms,envelope,temporal_moments,peak_to_peak,"(zcr, rms)","(zcr, envelope)","(zcr, temporal_moments)","(zcr, peak_to_peak)","(rms, envelope)","(rms, temporal_moments)","(rms, peak_to_peak)","(envelope, temporal_moments)","(envelope, peak_to_peak)","(temporal_moments, peak_to_peak)","(zcr, rms, envelope)","(zcr, rms, temporal_moments)","(zcr, rms, peak_to_peak)","(zcr, envelope, temporal_moments)","(zcr, envelope, peak_to_peak)","(zcr, temporal_moments, peak_to_peak)","(rms, envelope, temporal_moments)","(rms, envelope, peak_to_peak)","(rms, temporal_moments, peak_to_peak)","(envelope, temporal_moments, peak_to_peak)","(zcr, rms, envelope, temporal_moments)","(zcr, rms, envelope, peak_to_peak)","(zcr, rms, temporal_moments, peak_to_peak)","(zcr, envelope, temporal_moments, peak_to_peak)","(rms, envelope, temporal_moments, peak_to_peak)","(zcr, rms, envelope, temporal_moments, peak_to_peak)"
329,0.05184402982506246,0.0039398004,0.0046561435,12.865196227992234,0.5862957,0.00020425513100234024,0.00024139324178386524,0.6669836169493105,0.030395932996961035,1.8344275e-05,0.05068630563222621,0.0023098881,0.059902199619507664,0.0027298771,7.542809535800522,9.510411978007072e-07,0.0026277823409193673,0.00011975390989439068,0.0031055714236606,0.00014152782543988405,0.39104964253880786,0.0002360027118242275,1.07551705e-05,0.02971716425322808,0.03512040349002608,1.2235331630610874e-05,5.575913875376495e-07,0.0015406575498606368,0.0018207832460051395,0.00013836738077491222,7.173522615710324e-06
301,0.05721046764471719,0.009174736,0.0110760825,5.236017479205289,0.6914238,0.0005248909494722887,0.0006336678580938632,0.29955500858124784,0.039556677437803056,0.000101620135,0.048039079197552154,0.0063436306,0.057994561442750565,0.007658267,3.6203069649745765,5.813735446989869e-06,0.002748338186113564,0.00036292208109951985,0.0033178959809900444,0.00043813302175720075,0.2071194544836223,0.0005320848032383674,7.026258e-05,0.033215361426994314,0.04009881853062547,3.0440820419914327e-05,4.019754902432363e-06,0.0019002663602266455,0.0022940721601377345,0.0003678960826183795,2.1047506931257002e-05
467,0.04743775064425527,0.002780869,0.003301154,8.63403294147446,0.29576746,0.00013191816567386687,0.00015659931510954056,0.4095791017319513,0.014030542840318034,9.180077e-06,0.024010113728800582,0.00082249055,0.028502271437944968,0.0009763739,2.5536659606507857,4.3548216587997485e-07,0.001138985788007052,3.901710030021215e-05,0.0013520836452681124,4.631698108719138e-05,0.12114016907007455,7.926108035410575e-05,2.715168e-06,0.007101410262875532,0.008430044321776634,3.7599673656323483e-06,1.2880145246333262e-07,0.0003368749292728448,0.00039990234045646,2.344284811937734e-05,1.1120759834781708e-06
473,0.04606661901204937,0.0017243568,0.0020659794,16.573995454843896,0.21152759,7.943528707462883e-05,9.517268636549913e-05,0.7635079341257317,0.009744360714030106,3.5624855e-06,0.028579481524024012,0.00036474902,0.03424153335052606,0.00043701165,3.505857248660924,1.6411166752067464e-07,0.0013165600869291182,1.680275451678479e-05,0.0015773916712470662,2.0131648598437512e-05,0.1615029901846944,5.904462037604851e-05,7.5356394e-07,0.006045348735430447,0.007243028890002626,2.719986031574514e-06,3.4714144862338365e-08,0.0002784887769900489,0.00033366185236901783,1.2489566013444514e-05,5.753520791671887e-07
315,0.03108815011486181,0.0271397,0.032944683,21.81729463781585,2.0172024,0.0008437230392747478,0.001024189250141132,0.6782593308005888,0.06271109031815963,0.0008941088,0.5921148113528553,0.054746266,0.7187638554450566,0.066456094,44.00989861007853,2.779618805650643e-05,0.018407754140570647,0.0017019601206241168,0.022345038635212755,0.0020659969902095993,1.3681863345299696,0.01950703475106513,0.0018035984,1.1944154051069698,1.4498921579349797,0.0006064376246369387,5.60705366280001e-05,0.03713216541346896,0.04507446505624358,0.03934963687429948,0.0012233074181135237
472,0.05553339462556893,0.0033493503,0.0041135224,8.274628547964294,0.42277324,0.00018600079193174094,0.0002284378604211705,0.4595182125340996,0.02347803328493751,1.3777627e-05,0.02771462960691614,0.0014160157,0.03403786953817133,0.0017390872,3.4982915375418497,7.651184162613202e-07,0.0015390874628623504,7.863615781894788e-05,0.0018902384412769,9.657741484506277e-05,0.19427200446959983,0.0001140047485383537,5.824812e-06,0.01171700380965547,0.014390300455315629,6.331070689769148e-06,3.2347159335422884e-07,0.0006506849963908918,0.000799142233965547,4.819815714258576e-05,2.676607280824399e-06
314,0.05206757065978217,0.005719377,0.0065523647,13.956853259937956,0.81082714,0.0002977940761577115,0.00034116571081829175,0.7266994433000307,0.04221779919861765,3.7475445e-05,0.07982450822931011,0.004637426,0.09145039230515246,0.005312835,11.316595356882317,1.95125538569245e-06,0.004156268222611967,0.0002414595179005556,0.004761599763213325,0.00027662641621775555,0.5892276283726329,0.0005230392880958564,3.0386109e-05,0.06472387739335168,0.0741504596824969,2.7233385090773165e-05,1.5821308160631156e-06,0.0033700150595534165,0.0038608342989737356,0.0004240944480030245,2.2081567637818793e-05
300,0.07087894750975689,0.010005434,0.012164541,19.51654571246921,0.91918004,0.0007091746343961342,0.0008622098338778133,1.383312219125876,0.06515051349467985,0.000121711506,0.19527151088707334,0.0091967955,0.23740981247359022,0.011181403,17.939219182603274,8.626783624698706e-06,0.013840639170315791,0.0006518591656845621,0.016827357636616826,0.0007925260657908269,1.2715129748097616,0.0023753882200329896,0.00011187479,0.1794896743271129,0.21822235987915709,0.00016836501696301313,7.929567279187495e-06,0.012722039205174795,0.015467371191330051,0.0021834094286326635,0.00015475776228436285
466,0.047030537235599724,0.002605269,0.003203335,20.920252069502002,0.4377783,0.00012252719904573604,0.00015065456530429322,0.9838906939328461,0.02058894836097041,8.345549e-06,0.05450288344710967,0.0011405302,0.06701457535554929,0.0014023505,9.158432262845244,3.9249566335413314e-07,0.002563299889406843,5.3639748177434e-05,0.0031517314815870646,6.595329859525011e-05,0.43072598955746105,0.00017459099334590365,3.6535002e-06,0.023860179338268627,0.029337526478080644,8.211108213554865e-06,1.7182608193950446e-07,0.00112215705281653,0.0013797596314277646,7.643214722982954e-05,3.5946449462893385e-06
328,0.06372683923705721,0.0075483685,0.009004964,7.331719878053042,0.66102797,0.00048103366819164667,0.000573857865244282,0.46722733399982297,0.042125223043463535,6.797278e-05,0.05534252364179122,0.0049896827,0.06602187034787065,0.005952533,4.846471892420218,4.33169065410927e-06,0.0035268041070934675,0.00031797670819056113,0.004207365117788586,0.00037933609854298375,0.3088503351551797,0.0004983574088175048,4.493191e-05,0.03658295594304239,0.0436423027949803,3.175874247430952e-05,2.8633686707865307e-06,0.002331316152198609,0.0027811860141506817,0.00032942818525341573,2.0993417001799926e-05
458,0.06519537792092492,0.0075410493,0.009198541,209.31947184068372,2.004891,0.0004916415571967494,0.0005997023451899278,13.646662072861776,0.13070962113694287,6.936665e-05,1.5784884507023484,0.015118981,1.9254337064972442,0.01844207,419.66270820710037,4.522384933504436e-06,0.10291015108735488,0.0009856876932948693,0.12552937815677506,0.001202337785813383,27.360068860880748,0.014519790450322532,0.00013907257,3.1646971601359923,3.860284552776222,0.000946623225741414,9.066888484192058e-06,0.2063236273603439,0.25167271030055444,0.029110596015738753,0.001897876308749459
316,0.03616908295758183,0.0024593568,0.0029978696,502.4417900528126,1.4674227,8.895267990931728e-05,0.00010843019518750956,18.172858785776093,0.05307533422988294,7.372831e-06,1.2356836300231242,0.003608916,1.5062549810754327,0.004399142,737.294500095244,2.6666853722365384e-07,0.04469354372363224,0.00013053118383918392,0.054479861365788175,0.00015911293236098339,26.6672659381137,0.0037044184214057173,1.081906e-05,1.8132702380867087,2.2103127870220547,0.00013398541719341774,3.913154712365335e-07,0.06558432166587234,0.07994498655600459,0.005435947769923466,0.00019661324584344382
470,0.05330335212566228,0.011304058,0.013669223,4.436855075923859,0.9286777,0.0006025441911951858,0.0007286153851751279,0.23649924844250148,0.04950163328744465,0.0001545177,0.05015446771284236,0.010497826,0.060648359647049455,0.012694302,4.120408270011619,8.236310671751424e-06,0.002673401253172796,0.0005595693404367377,0.0032327608701104836,0.0006766488441383607,0.21963157291792024,0.0006855725832156961,0.00014349713,0.0465773346223159,0.05632277781809387,3.654331681084615e-05,7.648877870820027e-06,0.0024827280684481053,0.003002192858733298,0.0006366759547554038,3.393696260626952e-05
464,0.045695771519997395,0.004997893,0.0059018834,6.212994647225041,0.50162256,0.00022838256614123443,0.00026969111338593434,0.2839075838545623,0.02292202978319762,2.949698e-05,0.031051881033107225,0.0025070556,0.03666836970107179,0.0029605178,3.1165782655451246,1.3478872659719088e-06,0.0014189396609550083,0.00011456184694816976,0.0016755894438709716,0.00013528314606945204,0.1424144483465398,0.0001832645798502702,1.479635e-05,0.015576323983362603,0.018393681393943487,8.374416368546264e-06,6.761306577673178e-07,0.0007117721418651932,0.0008405134623892688,9.192964726932641e-05,4.200796157533092e-06
302,0.04826423852569693,0.0034504484,0.0042852107,20.133063314642175,0.42112803,0.00016653326421012002,0.0002068224334594067,0.9717069700708484,0.02032542391139054,1.4785898e-05,0.06946809593921727,0.0014530806,0.08627441921640627,0.0018046224,8.47859738400501,7.136301329510719e-07,0.00335282475233638,7.013182625094395e-05,0.0041639691477266035,8.709872491222738e-05,0.40921304650496776,0.0002976854310524518,6.2267563e-06,0.029254962709708475,0.03633257660014339,1.4367560649940442e-05,3.0052965531508045e-07,0.0014119684982817386,0.0017535641432824757,0.00012536368050569455,6.050582578386104e-06
465,0.050929038303453814,0.011110043,0.013232871,7.226252338791901,1.4691689,0.0005658238133006552,0.0006739373919226101,0.3680260821527554,0.07482335925585823,0.00014701777,0.08028397531965033,0.01632253,0.09562406471456594,0.019441323,10.616585210136286,7.487473506792865e-06,0.004088785654208012,0.0008312907501974852,0.004870041654580075,0.0009901278577326262,0.5406924748189121,0.0010623874854600395,0.00021599393,0.11795071982388625,0.14048790210825923,5.4106372940104336e-05,1.1000363226562046e-05,0.0060071167278306515,0.007154913747643404,0.0015608266549206288,7.94914004935044e-05
303,0.054398724342508364,0.007678179,0.009102789,4.303235529229625,0.5249801,0.0004176831467005776,0.0004951800961664619,0.2340905233354505,0.028558249258108893,6.989284e-05,0.03304101297533251,0.004030891,0.039171443980456494,0.0047787833,2.2591131381376637,3.8020814504409648e-06,0.0017973889568423554,0.00021927535173955028,0.0021308765831908614,0.00025995971017514627,0.12289287286008978,0.00030076536132626593,3.6692352e-05,0.01734587521480924,0.020564229667418395,1.6361251982562465e-05,1.996017205801972e-06,0.000943593484289956,0.0011186678609939257,0.00015789583783031459,8.589332156960687e-06
317,0.04893931762043848,0.0031228324,0.003715125,10.255454460340301,0.4339553,0.0001528292863698162,0.0001818156780953769,0.5018949431765365,0.02123747683604329,1.1601713e-05,0.03202606539649406,0.0013551697,0.03810029435523468,0.0016121982,4.450408937733418,5.677798891612685e-07,0.0015673337865719568,6.632108061499606e-05,0.0018646024068830296,7.889987927350006e-05,0.21779997654457395,0.00011898083340579039,5.034625e-06,0.013897881194068765,0.016533825115653045,5.8228407967904526e-06,2.4639109882067104e-07,0.00068015282200765,0.0008091541188157274,5.163236465588379e-05,2.5268526933885985e-06
471,0.055359046198441585,0.0036542453,0.004407709,3.019453609361505,0.17074344,0.00020229553367343212,0.00024400656609216865,0.16715407185469475,0.009452193740638057,1.610685e-05,0.01103382412186776,0.0006239384,0.013308872845349819,0.0007525874,0.5155518829614021,8.916598441832695e-07,0.0006108219793079566,3.454063443023842e-05,0.0007367665066949052,4.166251940872331e-05,0.028540460506553806,4.863388587279674e-05,2.7501387e-06,0.0018839530386084511,0.0022724026738615436,2.6923255348418907e-06,1.5224506520137022e-07,0.00010429384330001966,0.00012579804460376335,8.303916761533654e-06,4.5969691162975506e-07
459,0.049982338392219314,0.0014131746,0.0017266766,5.949431197289704,0.120612904,7.063376884711981e-05,8.630333379197333e-05,0.2973664833441605,0.006028515003660464,2.4400954e-06,0.00840758478852244,0.00017044709,0.010272743593204951,0.00020825947,0.7175781764082065,1.2196167538145862e-07,0.00042023074796120426,8.519344011448516e-06,0.0005134557464920728,1.040929575059297e-05,0.035866235236106624,1.4517179862499653e-05,2.94307e-07,0.0010140632205804345,0.001239025441235327,7.256025963881696e-07,1.4710151896837733e-08,5.068525104215502e-05,6.192938888039296e-05,1.7509592273405996e-06,8.751703661191672e-08
