Participant_ID,pcm_RMSenergy_mean,pcm_RMSenergy_std,pcm_zcr_mean,pcm_zcr_std,intensity_mean,intensity_std,loudness_mean,loudness_std,"(pcm_RMSenergy, pcm_zcr)","(pcm_RMSenergy, intensity)","(pcm_RMSenergy, loudness)","(pcm_zcr, intensity)","(pcm_zcr, loudness)","(intensity, loudness)","(pcm_RMSenergy, pcm_zcr, intensity)","(pcm_RMSenergy, pcm_zcr, loudness)","(pcm_RMSenergy, intensity, loudness)","(pcm_zcr, intensity, loudness)","(pcm_RMSenergy, pcm_zcr, intensity, loudness)"
329,0.0036931317,0.0057359496,0.06511691,0.06829914,0.08612149,0.10764069,0.0036931317,0.0057359496,0.00024048533,0.000318058,1.3639222e-05,0.0056079654,0.00024048533,0.000318058,2.0710955e-05,8.88144e-07,1.1746301e-06,2.0710955e-05,7.6488284e-08
301,0.008745497,0.010956413,0.07352874,0.08011253,0.17276905,0.15779334,0.008745497,0.010956413,0.00064304535,0.0015109513,7.648372e-05,0.01270349,0.00064304535,0.0015109513,0.000111098336,5.6237513e-06,1.321402e-05,0.000111098336,9.716101e-07
467,0.0026187967,0.004520745,0.06463521,0.09980959,0.06393269,0.08326894,0.0026187967,0.004520745,0.00016926647,0.00016742671,6.8580957e-06,0.0041323025,0.00016926647,0.00016742671,1.082166e-05,4.4327444e-07,4.384565e-07,1.082166e-05,2.8339727e-08
473,0.001610695,0.003546469,0.054959316,0.0542944,0.04697447,0.079231106,0.001610695,0.003546469,8.85227e-05,7.566154e-05,2.5943384e-06,0.0025816846,8.85227e-05,7.566154e-05,4.1583066e-06,1.4258308e-07,1.2186767e-07,4.1583066e-06,6.6977637e-09
315,0.025576098,0.045458093,0.06160215,0.14672934,0.18943846,0.2198054,0.025576098,0.045458093,0.0015755426,0.0048450967,0.00065413676,0.011669816,0.0015755426,0.0048450967,0.00029846837,4.0296232e-05,0.00012391867,0.00029846837,7.633656e-06
472,0.0031604017,0.004926281,0.069236554,0.087695576,0.07525254,0.08969655,0.0031604017,0.004926281,0.00021881533,0.00023782825,9.988139e-06,0.0052102264,0.00021881533,0.00023782825,1.6466409e-05,6.9154436e-07,7.516328e-07,1.6466409e-05,5.2040466e-08
314,0.0053129126,0.0073391013,0.066259794,0.066188894,0.1278625,0.14850199,0.0053129126,0.0073391013,0.00035203248,0.0006793223,2.8227041e-05,0.008472143,0.00035203248,0.0006793223,4.501175e-05,1.8703179e-06,3.6091799e-06,4.5011755e-05,2.391435e-07
300,0.009796154,0.024784435,0.08957701,0.048005898,0.2254814,0.41384876,0.009796154,0.024784435,0.0008775102,0.0022088506,9.596463e-05,0.02019795,0.0008775102,0.0022088506,0.00019786223,8.596225e-06,2.163824e-05,0.00019786223,1.9382887e-06
466,0.0024732163,0.003087941,0.06394337,0.09691998,0.06954431,0.07049708,0.0024732163,0.003087941,0.00015814579,0.00017199811,6.116799e-06,0.0044468977,0.00015814579,0.00017199811,1.0998139e-05,3.9112874e-07,4.2538852e-07,1.0998139e-05,2.7200777e-08
328,0.0070301658,0.010899709,0.10863431,0.17233495,0.14547645,0.17531769,0.0070301658,0.010899709,0.00076371717,0.0010227235,4.942323e-05,0.015803734,0.00076371717,0.0010227235,0.00011110286,5.3690583e-06,7.189916e-06,0.00011110287,7.8107155e-07
458,0.0072139176,0.010049104,0.08458452,0.11390459,0.14747187,0.15382689,0.0072139176,0.010049104,0.0006101857,0.0010638499,5.2040607e-05,0.0124738375,0.0006101857,0.0010638499,8.998523e-05,4.4018298e-06,7.6745255e-06,8.998524e-05,6.4914605e-07
316,0.0022777151,0.0055725956,0.053538457,0.110685214,0.047764122,0.06238178,0.0022777151,0.0055725956,0.000121945355,0.000108793065,5.187986e-06,0.0025572174,0.000121945355,0.000108793065,5.824613e-06,2.7775678e-07,2.4779962e-07,5.824613e-06,1.3266809e-08
470,0.010632467,0.015265074,0.07300834,0.100063525,0.1636356,0.20563014,0.010632467,0.015265074,0.0007762588,0.0017398502,0.00011304936,0.011946764,0.0007762588,0.0017398502,0.00012702358,8.253547e-06,1.84989e-05,0.00012702358,1.350574e-06
464,0.004647626,0.0060088937,0.057914555,0.07322111,0.10151014,0.11494915,0.004647626,0.0060088937,0.0002691652,0.00047178115,2.1600428e-05,0.0058789146,0.0002691652,0.00047178115,2.7322996e-05,1.2509793e-06,2.1926624e-06,2.7322996e-05,1.2698708e-07
302,0.003299435,0.003445374,0.0607503,0.03858965,0.09419933,0.06099629,0.003299435,0.003445374,0.00020044166,0.00031080455,1.08862705e-05,0.0057226373,0.00020044166,0.00031080455,1.888147e-05,6.613442e-07,1.0254794e-06,1.8881468e-05,6.2298184e-08
465,0.010449791,0.014059363,0.06913762,0.08583388,0.18093221,0.20277223,0.010449791,0.014059363,0.00072247366,0.0018907038,0.00010919814,0.012509222,0.00072247366,0.0018907038,0.00013071875,7.549699e-06,1.975746e-05,0.00013071876,1.3659836e-06
303,0.0072267926,0.008015202,0.07044933,0.056863964,0.1617402,0.1348623,0.0072267926,0.008015202,0.0005091227,0.0011688629,5.2226533e-05,0.011394489,0.0005091227,0.0011688629,8.234561e-05,3.679324e-06,8.44713e-06,8.234561e-05,5.950946e-07
317,0.0029372114,0.00523035,0.061675563,0.07684053,0.07096159,0.099138975,0.0029372114,0.00523035,0.00018115417,0.00020842918,8.627211e-06,0.004376596,0.00018115417,0.00020842918,1.2854987e-05,5.320881e-07,6.1220055e-07,1.2854987e-05,3.7757815e-08
471,0.0034740323,0.0042062625,0.070667796,0.07740198,0.09041861,0.088289626,0.0034740323,0.0042062625,0.0002455022,0.00031411715,1.20689e-05,0.0063896836,0.0002455022,0.00031411715,2.2197966e-05,8.528825e-07,1.0912531e-06,2.2197966e-05,7.7116454e-08
459,0.0013463028,0.0016808863,0.06345898,0.08133679,0.0488314,0.049060274,0.0013463028,0.0016808863,8.5435e-05,6.574185e-05,1.8125312e-06,0.0030987908,8.5435e-05,6.574185e-05,4.1719104e-06,1.1502138e-07,8.8508436e-08,4.171911e-06,5.6166547e-09
475,0.002067494,0.0032724903,0.06995884,0.07779108,0.061703723,0.07705202,0.002067494,0.0032724903,0.00014463949,0.00012757207,4.2745314e-06,0.004316721,0.00014463949,0.00012757207,8.924795e-06,2.9904126e-07,2.637545e-07,8.924795e-06,1.845196e-08
313,0.0030504349,0.005207523,0.060798265,0.112497084,0.068652004,0.08768006,0.0030504349,0.005207523,0.00018546115,0.00020941846,9.305153e-06,0.004173923,0.00018546115,0.00020941846,1.2732279e-05,5.6573714e-07,6.3881737e-07,1.273228e-05,3.8838987e-08
307,0.06153318,0.061320804,0.06583911,0.03184213,0.6410644,0.49069607,0.06153318,0.061320804,0.00405129,0.03944673,0.0037863322,0.04220711,0.00405129,0.03944673,0.0025971378,0.00024928874,0.0024272827,0.0025971376,0.00015981015
461,0.0011668325,0.0019091401,0.06872226,0.071980715,0.04266231,0.04685766,0.0011668325,0.0019091401,8.018737e-05,4.9779774e-05,1.3614981e-06,0.0029318505,8.018737e-05,4.9779774e-05,3.4209784e-06,9.356523e-08,5.808466e-08,3.4209786e-06,3.9917087e-09
449,0.0054996437,0.005848585,0.071678974,0.09102054,0.12358703,0.11170808,0.0054996437,0.005848585,0.00039420882,0.0006796846,3.0246081e-05,0.008858591,0.00039420882,0.0006796846,4.8719096e-05,2.168008e-06,3.7380232e-06,4.8719096e-05,2.6793768e-07
448,0.004583359,0.0061529935,0.08295685,0.11621722,0.10469416,0.10047661,0.004583359,0.0061529935,0.00038022106,0.00047985095,2.1007181e-05,0.008685098,0.00038022106,0.00047985095,3.9806924e-05,1.7426897e-06,2.1993292e-06,3.9806924e-05,1.8244944e-07
306,0.029829247,0.030047413,0.074291386,0.13599785,0.3525397,0.20888692,0.029829247,0.030047413,0.002216056,0.010515993,0.00088978396,0.026190663,0.002216056,0.010515993,0.0007812477,6.610328e-05,0.00031368417,0.00078124774,2.330403e-05
474,0.0060696304,0.008941474,0.07761548,0.1146698,0.1257449,0.15234862,0.0060696304,0.008941474,0.00047109727,0.000763225,3.6840414e-05,0.00975975,0.00047109727,0.000763225,5.9238075e-05,2.8593863e-06,4.632494e-06,5.9238075e-05,3.595532e-07
312,0.010197714,0.020042986,0.07375175,0.16888413,0.12224557,0.17396317,0.010197714,0.020042986,0.0007520992,0.0012466253,0.00010399337,0.009015825,0.0007520992,0.0012466253,9.19408e-05,7.669692e-06,1.2712729e-05,9.19408e-05,9.37586e-07
489,0.0027686793,0.0062433504,0.06966906,0.07642562,0.072917774,0.1290087,0.0027686793,0.0062433504,0.00019289128,0.00020188594,7.665585e-06,0.0050801127,0.00019289128,0.00020188594,1.4065203e-05,5.340541e-07,5.589574e-07,1.4065203e-05,3.8942037e-08
462,0.004417361,0.0059145265,0.08821566,0.09391914,0.11611266,0.12205059,0.004417361,0.0059145265,0.0003896804,0.00051291153,1.951308e-05,0.010242954,0.0003896804,0.00051291153,4.5246827e-05,1.7213591e-06,2.2657155e-06,4.5246827e-05,1.9987158e-07
304,0.004944089,0.006141117,0.058077857,0.031976927,0.12365436,0.11071107,0.004944089,0.006141117,0.0002871421,0.00061135815,2.4444014e-05,0.00718158,0.0002871421,0.00061135815,3.550637e-05,1.419656e-06,3.022609e-06,3.550637e-05,1.7554666e-07
310,0.0051067644,0.008701728,0.044019476,0.058927707,0.09359195,0.13288744,0.0051067644,0.008701728,0.00022479708,0.00047795204,2.6079042e-05,0.0041198684,0.00022479708,0.00047795204,2.1039197e-05,1.1479857e-06,2.4407884e-06,2.1039197e-05,1.07442226e-07
