Participant_ID,wavelet_coefficients,wavelet_packet,mra,wavelet_energy,wavelet_entropy,"(wavelet_coefficients, wavelet_packet)","(wavelet_coefficients, mra)","(wavelet_coefficients, wavelet_energy)","(wavelet_coefficients, wavelet_entropy)","(wavelet_packet, mra)","(wavelet_packet, wavelet_energy)","(wavelet_packet, wavelet_entropy)","(mra, wavelet_energy)","(mra, wavelet_entropy)","(wavelet_energy, wavelet_entropy)","(wavelet_coefficients, wavelet_packet, mra)","(wavelet_coefficients, wavelet_packet, wavelet_energy)","(wavelet_coefficients, wavelet_packet, wavelet_entropy)","(wavelet_coefficients, mra, wavelet_energy)","(wavelet_coefficients, mra, wavelet_entropy)","(wavelet_coefficients, wavelet_energy, wavelet_entropy)","(wavelet_packet, mra, wavelet_energy)","(wavelet_packet, mra, wavelet_entropy)","(wavelet_packet, wavelet_energy, wavelet_entropy)","(mra, wavelet_energy, wavelet_entropy)","(wavelet_coefficients, wavelet_packet, mra, wavelet_energy)","(wavelet_coefficients, wavelet_packet, mra, wavelet_entropy)","(wavelet_coefficients, wavelet_packet, wavelet_energy, wavelet_entropy)","(wavelet_coefficients, mra, wavelet_energy, wavelet_entropy)","(wavelet_packet, mra, wavelet_energy, wavelet_entropy)","(wavelet_coefficients, wavelet_packet, mra, wavelet_energy, wavelet_entropy)"
329,-2.31711e-06,-2.4371936e-06,-2.2125829e-05,123.751625,1.7471718937158585,5.647246e-12,5.1267983e-11,-0.00028674613,-4.048389644881362e-06,5.392493e-11,-0.00030160666,-4.258196233196002e-06,-0.0027381072,-3.865762614131498e-05,216.21536110830368,-1.2495e-16,6.9885586e-10,9.86670950829012e-12,6.344496e-09,8.957397605186423e-11,-0.0005009947974343355,6.673298e-09,9.42161206984351e-11,-0.0005269587036867839,-0.0047839440559896826,-1.5462766e-14,-2.183091250427749e-16,1.2210213356560695e-09,1.1084925099596444e-08,1.1659398043377975e-08,-2.701610898969612e-14
301,-2.0970117e-06,-8.8237056e-07,-6.9242645e-07,602.4841,1.8371795266866684,1.8503413e-12,1.4520263e-12,-0.0012634161,-3.852586966251489e-06,6.109767e-13,-0.0005316142,-1.6210731223906712e-06,-0.0004171759,-1.2721117049369855e-06,1106.8713982359159,-1.2812252e-18,1.1148011e-09,3.399409307552145e-12,8.748227e-10,2.6676331315834677e-12,-0.002321122274778937,3.6810374e-10,1.1224739137339766e-12,-0.0009766707322605855,-0.0007664270372614607,-7.719178e-16,-2.353840932359981e-18,2.0480899546123455e-09,1.6072064659143333e-09,6.762726518179652e-10,-1.418151664647075e-15
467,-4.203237e-06,-3.582648e-06,-2.285815e-05,102.503914,1.674972053617239,1.505872e-11,9.607822e-11,-0.00043084825,-7.040304577065853e-06,8.189271e-11,-0.00036723545,-6.00083545431158e-06,-0.00234305,-3.8286762882394625e-05,171.69119113437407,-3.4421447e-16,1.5435777e-09,2.522293385371504e-11,9.848394e-09,1.6092833989668163e-10,-0.0007216587740522653,8.3943235e-09,1.3716799849843753e-10,-0.0006151091206131715,-0.003924543045217777,-3.528333e-14,-5.765496120188956e-16,2.5854494395268713e-09,1.6495784693523384e-08,1.406025670509276e-08,-5.90985917775832e-14
473,-4.0102154e-06,-4.9588953e-06,-2.3164353e-05,30.488764,1.8937390800565481,1.9886238e-11,9.289405e-11,-0.00012226652,-7.594301687552721e-06,1.148696e-10,-0.00015119059,-9.390853748986375e-06,-0.0007062525,-4.386724144729881e-05,57.73776352810356,-4.606519e-16,6.0630684e-10,3.7659346646296413e-11,2.8322247e-09,1.7591708871612675e-10,-0.00023154087044763505,3.502232e-09,2.175330557104812e-10,-0.0002863155219196244,-0.0013374579634480221,-1.4044707e-14,-8.723544175004709e-16,1.148186925107874e-09,5.363494567868792e-09,6.6323139562512994e-09,-2.6597007793087683e-14
315,-3.1137886e-06,-6.457843e-06,-1.3452763e-05,10004.556,0.768769858404994,2.0108358e-11,4.1889058e-11,-0.031152071,-2.3937868056475217e-06,8.687583e-11,-0.06460785,-4.9645950704902245e-06,-0.13458891,-1.0342078465993707e-05,7691.200841266209,-2.7051297e-16,2.0117518e-07,1.5458699434156985e-11,4.190814e-07,3.2203045819500715e-11,-0.02394877334499899,8.691541e-07,6.678751932004977e-11,-0.049668567732249744,-0.10346789969513616,-2.706362e-12,-2.0796221493642462e-16,1.5465741898303506e-07,3.2217716445355006e-07,6.681794547020875e-07,-2.0805695553531902e-12
472,-5.1358484e-06,-5.009185e-06,-2.2987411e-05,115.994865,1.6922499407082796,2.5726414e-11,1.1805985e-10,-0.00059573207,-8.691139097603902e-06,1.1514819e-10,-0.0005810397,-8.476792783486909e-06,-0.0026664217,-3.8900445383575205e-05,196.2923041251962,-5.913837e-16,2.9841318e-09,4.353552238980393e-11,1.3694337e-08,1.997867889691819e-10,-0.0010081275099511672,1.33565985e-08,1.948595220892145e-10,-0.0009832644380924336,-0.0045122519269478545,-6.859747e-14,-1.0007689586688115e-15,5.049897060485015e-09,2.3174241698670826e-08,2.2602704040052997e-08,-1.1608406067478086e-13
314,-5.258583e-06,-5.286601e-06,-2.2921202e-05,478.92688,1.9623098857700825,2.780003e-11,1.2053304e-10,-0.0025184767,-1.0318969130973641e-05,1.2117525e-10,-0.0025318954,-1.037394981327734e-05,-0.010977579,-4.497850106130772e-05,939.8029509550638,-6.372101e-16,1.3314182e-08,5.455227467677405e-11,5.7726513e-08,2.3652317474156593e-10,-0.004942031689504263,5.8034086e-08,2.377833980606662e-10,-0.004968363416133802,-0.02154141317509788,-3.0517703e-13,-1.2504037013925137e-15,2.612655070145756e-08,1.1327730609895542e-07,1.1388086092112766e-07,-5.988519433018366e-13
300,-2.924747e-06,-4.970706e-06,2.8105487e-07,1700.807,2.100826159119606,1.4538057e-11,-8.2201433e-13,-0.00497443,-6.144384844374376e-06,-1.3970411e-12,-0.008454212,-1.0442589107622716e-05,0.00047802008,5.904474156723795e-07,3573.099851574856,4.085992e-18,2.472643e-08,3.054193035933772e-11,-1.3980878e-09,-1.7269092621056026e-12,-0.01045041279600848,-2.3760973e-09,-2.934940487464358e-12,-0.017760828723753355,0.0010042371017437543,6.9494835e-15,8.583958159524257e-18,5.194592915745684e-08,-2.9371393731590875e-09,-4.991767345725862e-09,1.4599656184105375e-14
466,-4.491107e-06,-3.9137362e-06,-2.2853721e-05,92.0671,1.8672792874276638,1.757701e-11,1.0263851e-10,-0.0004134832,-8.386151302748063e-06,8.944344e-11,-0.00036032635,-7.3080386107356314e-06,-0.0021040759,-4.267427990224932e-05,171.91498986367074,-4.0170005e-16,1.6182643e-09,3.2821184237726365e-11,9.4496295e-09,1.9165476230879425e-10,-0.0007720886350071467,8.234798e-09,1.6701587561687068e-10,-0.000672829925414465,-0.003928897217588208,-3.698336e-14,-7.500861881317724e-16,3.021751268561094e-09,1.7645098267560025e-08,1.5376667409673016e-08,-6.90582604850687e-14
328,-3.3376305e-06,-3.9458596e-06,-2.2227903e-05,672.4724,1.8340194802731276,1.3169821e-11,7.418852e-11,-0.0022444644,-6.121279281610708e-06,8.770819e-11,-0.0026534817,-7.23678335318741e-06,-0.014947652,-4.07664074252529e-05,1233.3275037548524,-2.927375e-16,8.856341e-09,2.4153708552089273e-11,4.9889735e-08,1.3606320316768878e-10,-0.004116391443699895,5.8981335e-08,1.6085851965999343e-10,-0.004866537157430909,-0.027414284334293354,-1.968579e-13,-5.368862949692597e-16,1.6242702651410314e-08,9.149875043350361e-08,1.0817291672409911e-07,-3.6104122180644346e-13
